id,question,difficulty,category,expected_sources,baseline_hit,baseline_ranks,baseline_sources,reranker_hit,reranker_ranks,reranker_sources,reranker_scores,change
14,What kind of business processes is NovaFlow designed to automate?,medium,products,product_b.txt,True,1 | 2,1:product_b.txt | 2:product_b.txt | 3:prompt_injection_test.txt,True,1 | 2,1:product_b.txt | 2:product_b.txt | 3:prompt_injection_test.txt,1:7.1509 | 2:7.1509 | 3:1.0473,same_success
15,What services does NovaTech provide to customers?,medium,company,services.docx,True,3,1:product_a.pdf | 2:product_a.pdf | 3:services.docx,True,1 | 2,1:services.docx | 2:services.docx | 3:product_a.pdf,1:7.3633 | 2:7.3633 | 3:7.0856,same_success
16,What happens during a typical NovaTech software development project?,medium,company,services.docx,True,1 | 2,1:services.docx | 2:services.docx | 3:company_overview.pdf,True,1 | 2,1:services.docx | 2:services.docx | 3:company_overview.pdf,1:3.1655 | 2:3.1655 | 3:0.8682,same_success
17,What areas can be configured in NovaDesk?,medium,technical,configuration.docx,True,1 | 2,1:configuration.docx | 2:configuration.docx | 3:installation.pdf,True,1 | 2,1:configuration.docx | 2:configuration.docx | 3:faq.txt,1:3.9128 | 2:3.9128 | 3:2.8101,same_success
18,What should administrators verify after installing NovaDesk?,medium,technical,installation.pdf,True,1 | 2,1:installation.pdf | 2:installation.pdf | 3:product_a.pdf,True,1 | 2,1:installation.pdf | 2:installation.pdf | 3:faq.txt,1:6.8592 | 2:6.8592 | 3:3.4221,same_success
19,What should a user check when they cannot sign in?,medium,technical,troubleshooting.txt,True,1 | 2,1:troubleshooting.txt | 2:troubleshooting.txt | 3:installation.pdf,True,1 | 2,1:troubleshooting.txt | 2:troubleshooting.txt | 3:configuration.docx,1:2.7334 | 2:2.7334 | 3:-5.9439,same_success
20,How should employees handle unexpected absence from work?,medium,hr,attendance_policy.docx,True,1 | 2,1:attendance_policy.docx | 2:attendance_policy.docx | 3:employee_handbook.pdf,True,1 | 2,1:attendance_policy.docx | 2:attendance_policy.docx | 3:leave_policy.pdf,1:6.8647 | 2:6.8647 | 3:-2.9715,same_success
21,An employee wants to take planned personal time away from work. What type of leave should they use and how should they request it?,difficult,hr,leave_policy.pdf,True,3,1:attendance_policy.docx | 2:attendance_policy.docx | 3:leave_policy.pdf,True,1 | 2 | 3,1:leave_policy.pdf | 2:leave_policy.pdf | 3:leave_policy.pdf,1:5.9190 | 2:5.9190 | 3:3.9303,same_success
22,A full-time employee needs time off for both planned personal reasons and illness. What leave options are available and how many days are provided?,difficult,hr,leave_policy.pdf,True,1 | 2,1:leave_policy.pdf | 2:leave_policy.pdf | 3:employee_handbook.pdf,True,1 | 2,1:leave_policy.pdf | 2:leave_policy.pdf | 3:employee_handbook.pdf,1:5.4253 | 2:5.4253 | 3:-0.0177,same_success
23,A support team wants to manage customer requests while tracking ticket status and service performance. Which NovaTech product fits this need?,difficult,products,product_a.pdf,True,1 | 2,1:product_a.pdf | 2:product_a.pdf | 3:product_b.txt,True,1 | 2,1:product_a.pdf | 2:product_a.pdf | 3:services.docx,1:7.4734 | 2:7.4734 | 3:-4.6044,same_success
24,A company wants to automate repetitive business workflows rather than manage customer support tickets. Which NovaTech product should it consider?,difficult,products,product_b.txt,True,1 | 2,1:product_b.txt | 2:product_b.txt | 3:product_a.pdf,True,1 | 2,1:product_b.txt | 2:product_b.txt | 3:product_a.pdf,1:2.4298 | 2:2.4298 | 3:1.8552,same_success
25,A new NovaDesk installation needs both browser access and administrative configuration. What prerequisites and post-installation checks are required?,difficult,technical,installation.pdf,True,1 | 2,1:installation.pdf | 2:installation.pdf | 3:configuration.docx,True,1 | 2,1:installation.pdf | 2:installation.pdf | 3:configuration.docx,1:6.2420 | 2:6.2420 | 3:1.0977,same_success
26,NovaDesk is not starting after configuration changes. What troubleshooting steps should an administrator take?,difficult,technical,troubleshooting.txt | configuration.docx,True,3,1:installation.pdf | 2:installation.pdf | 3:troubleshooting.txt,True,3,1:faq.txt | 2:faq.txt | 3:configuration.docx,1:1.5676 | 2:1.5676 | 3:1.0665,same_success
27,An employee is working remotely. What attendance-related responsibilities do they have?,difficult,hr,attendance_policy.docx,True,1 | 2 | 3,1:attendance_policy.docx | 2:attendance_policy.docx | 3:attendance_policy.docx,True,1 | 2,1:attendance_policy.docx | 2:attendance_policy.docx | 3:policies.pdf,1:3.6018 | 2:3.6018 | 3:3.4389,same_success
28,How does NovaTech's hybrid working model affect employees working remotely?,difficult,company,company_overview.pdf | attendance_policy.docx,True,1 | 2,1:company_overview.pdf | 2:company_overview.pdf | 3:policies.pdf,True,1 | 2 | 3,1:company_overview.pdf | 2:company_overview.pdf | 3:attendance_policy.docx,1:6.0567 | 2:6.0567 | 3:3.2969,same_success
29,What security responsibilities apply when employees work remotely or handle company information?,difficult,company,policies.pdf | company_overview.pdf,True,1 | 2 | 3,1:policies.pdf | 2:policies.pdf | 3:policies.pdf,True,1 | 2 | 3,1:policies.pdf | 2:policies.pdf | 3:policies.pdf,1:6.6854 | 2:6.6854 | 3:6.6677,same_success
30,A NovaDesk user cannot sign in and the application also has configuration problems. Which documentation should be consulted and what areas should be checked?,difficult,technical,troubleshooting.txt | configuration.docx,True,3,1:installation.pdf | 2:installation.pdf | 3:configuration.docx,True,1 | 2,1:configuration.docx | 2:configuration.docx | 3:installation.pdf,1:3.3974 | 2:3.3974 | 3:-0.2361,same_success
