id,question,difficulty,category,expected_sources,dense_sources,bm25_sources,hybrid_sources,dense_hit_at_3,bm25_hit_at_3,hybrid_hit_at_3,dense_precision_at_3,bm25_precision_at_3,hybrid_precision_at_3,dense_recall_at_3,bm25_recall_at_3,hybrid_recall_at_3,dense_mrr,bm25_mrr,hybrid_mrr,dense_coverage_at_3,bm25_coverage_at_3,hybrid_coverage_at_3
11,How far in advance should planned annual leave normally be requested?,medium,hr,leave_policy.pdf,leave_policy.pdf|leave_policy.pdf|leave_policy.pdf,leave_policy.pdf|leave_policy.pdf|employee_handbook.pdf,leave_policy.pdf|leave_policy.pdf|employee_handbook.pdf,1,1,1,1.0,0.6667,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,Who reviews employee leave requests?,medium,hr,leave_policy.pdf,employee_handbook.pdf|employee_handbook.pdf|leave_policy.pdf,employee_handbook.pdf|employee_handbook.pdf|services.docx,employee_handbook.pdf|leave_policy.pdf|employee_handbook.pdf,1,0,1,0.3333,0.0,0.3333,1.0,0.0,1.0,0.3333,0.0,0.5,1.0,0.0,1.0
13,What types of customer-support activities can NovaDesk manage?,medium,products,product_a.pdf,product_a.pdf|product_a.pdf|product_b.txt,product_a.pdf|product_a.pdf|faq.txt,product_a.pdf|product_a.pdf|company_overview.pdf,1,1,1,0.6667,0.6667,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,What kind of business processes is NovaFlow designed to automate?,medium,products,product_b.txt,product_b.txt|product_b.txt|prompt_injection_test.txt,product_b.txt|product_b.txt|prompt_injection_test.txt,product_b.txt|product_b.txt|prompt_injection_test.txt,1,1,1,0.6667,0.6667,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,What services does NovaTech provide to customers?,medium,company,services.docx,product_a.pdf|product_a.pdf|services.docx,troubleshooting.txt|troubleshooting.txt|services.docx,services.docx|services.docx|company_overview.pdf,1,1,1,0.3333,0.3333,0.6667,1.0,1.0,1.0,0.3333,0.3333,1.0,1.0,1.0,1.0
16,What happens during a typical NovaTech software development project?,medium,company,services.docx,services.docx|services.docx|company_overview.pdf,company_overview.pdf|company_overview.pdf|services.docx,services.docx|company_overview.pdf|services.docx,1,1,1,0.6667,0.3333,0.6667,1.0,1.0,1.0,1.0,0.3333,1.0,1.0,1.0,1.0
17,What areas can be configured in NovaDesk?,medium,technical,configuration.docx,configuration.docx|configuration.docx|installation.pdf,faq.txt|faq.txt|configuration.docx,configuration.docx|configuration.docx|product_a.pdf,1,1,1,0.6667,0.3333,0.6667,1.0,1.0,1.0,1.0,0.3333,1.0,1.0,1.0,1.0
18,What should administrators verify after installing NovaDesk?,medium,technical,installation.pdf,installation.pdf|installation.pdf|product_a.pdf,installation.pdf|installation.pdf|installation.pdf,installation.pdf|installation.pdf|product_a.pdf,1,1,1,0.6667,1.0,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,What should a user check when they cannot sign in?,medium,technical,troubleshooting.txt,troubleshooting.txt|troubleshooting.txt|installation.pdf,troubleshooting.txt|troubleshooting.txt|configuration.docx,troubleshooting.txt|troubleshooting.txt|installation.pdf,1,1,1,0.6667,0.6667,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,How should employees handle unexpected absence from work?,medium,hr,attendance_policy.docx,attendance_policy.docx|attendance_policy.docx|employee_handbook.pdf,attendance_policy.docx|attendance_policy.docx|leave_policy.pdf,attendance_policy.docx|attendance_policy.docx|leave_policy.pdf,1,1,1,0.6667,0.6667,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,An employee wants to take planned personal time away from work. What type of leave should they use and how should they request it?,difficult,hr,leave_policy.pdf,attendance_policy.docx|attendance_policy.docx|leave_policy.pdf,leave_policy.pdf|leave_policy.pdf|leave_policy.pdf,leave_policy.pdf|leave_policy.pdf|leave_policy.pdf,1,1,1,0.3333,1.0,1.0,1.0,1.0,1.0,0.3333,1.0,1.0,1.0,1.0,1.0
22,A full-time employee needs time off for both planned personal reasons and illness. What leave options are available and how many days are provided?,difficult,hr,leave_policy.pdf,leave_policy.pdf|leave_policy.pdf|employee_handbook.pdf,leave_policy.pdf|leave_policy.pdf|leave_policy.pdf,leave_policy.pdf|leave_policy.pdf|employee_handbook.pdf,1,1,1,0.6667,1.0,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,A support team wants to manage customer requests while tracking ticket status and service performance. Which NovaTech product fits this need?,difficult,products,product_a.pdf,product_a.pdf|product_a.pdf|product_b.txt,product_a.pdf|product_a.pdf|services.docx,product_a.pdf|product_a.pdf|product_b.txt,1,1,1,0.6667,0.6667,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,A company wants to automate repetitive business workflows rather than manage customer support tickets. Which NovaTech product should it consider?,difficult,products,product_b.txt,product_b.txt|product_b.txt|product_a.pdf,product_a.pdf|product_a.pdf|prompt_injection_test.txt,product_a.pdf|product_b.txt|product_a.pdf,1,0,1,0.6667,0.0,0.3333,1.0,0.0,1.0,1.0,0.0,0.5,1.0,0.0,1.0
25,A new NovaDesk installation needs both browser access and administrative configuration. What prerequisites and post-installation checks are required?,difficult,technical,installation.pdf,installation.pdf|installation.pdf|configuration.docx,installation.pdf|installation.pdf|configuration.docx,installation.pdf|installation.pdf|configuration.docx,1,1,1,0.6667,0.6667,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,NovaDesk is not starting after configuration changes. What troubleshooting steps should an administrator take?,difficult,technical,troubleshooting.txt|configuration.docx,installation.pdf|installation.pdf|troubleshooting.txt,installation.pdf|installation.pdf|configuration.docx,installation.pdf|installation.pdf|troubleshooting.txt,1,1,1,0.3333,0.3333,0.3333,0.5,0.5,0.5,0.3333,0.3333,0.3333,0.5,0.5,0.5
27,An employee is working remotely. What attendance-related responsibilities do they have?,difficult,hr,attendance_policy.docx,attendance_policy.docx|attendance_policy.docx|attendance_policy.docx,leave_policy.pdf|leave_policy.pdf|prompt_injection_test.txt,policies.pdf|attendance_policy.docx|leave_policy.pdf,1,0,1,1.0,0.0,0.3333,1.0,0.0,1.0,1.0,0.0,0.5,1.0,0.0,1.0
28,How does NovaTech's hybrid working model affect employees working remotely?,difficult,company,company_overview.pdf|attendance_policy.docx,company_overview.pdf|company_overview.pdf|policies.pdf,company_overview.pdf|company_overview.pdf|attendance_policy.docx,company_overview.pdf|company_overview.pdf|attendance_policy.docx,1,1,1,0.6667,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0
29,What security responsibilities apply when employees work remotely or handle company information?,difficult,company,policies.pdf|company_overview.pdf,policies.pdf|policies.pdf|policies.pdf,policies.pdf|policies.pdf|policies.pdf,policies.pdf|policies.pdf|policies.pdf,1,1,1,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5
30,A NovaDesk user cannot sign in and the application also has configuration problems. Which documentation should be consulted and what areas should be checked?,difficult,technical,troubleshooting.txt|configuration.docx,installation.pdf|installation.pdf|configuration.docx,troubleshooting.txt|troubleshooting.txt|faq.txt,configuration.docx|configuration.docx|troubleshooting.txt,1,1,1,0.3333,0.6667,1.0,0.5,0.5,1.0,0.3333,1.0,1.0,0.5,0.5,1.0
